pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.753826699918136,None,0,0,0,0,,,,,0.04025430011097342,,0.018702000030316412,0.04025430011097342,1.0070449000922963,1.0070449000922963,1.0070449000922963,1.0070449000922963,1.0406559000257403,2.007741600042209,2.007741600042209,2.8712888000300154,x,1,0.753826699918136,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
150,v,1,1,0,v,1,0.6390358000062406,None,0,1,1,1,,,,,2.875642400002107,,2.8717563000973314,2.875642400002107,3.8739802000345662,3.8739802000345662,3.8739802000345662,3.8739802000345662,3.8911228000652045,4.873900500009768,4.873900500009768,5.527820800081827,v,1,0.6390358000062406,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
50,c,2,2,0,c,1,0.8434782000258565,None,0,2,2,2,,,,,5.540438500000164,,5.52816270000767,5.540438500000164,6.540540400077589,6.540540400077589,6.540540400077589,6.540540400077589,6.540540400077589,7.540392900002189,7.540392900002189,8.384960400057025,c,1,0.8434782000258565,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
-150,z,3,3,0,z,1,0.7243395999539644,None,0,3,3,3,,,,,8.39055280003231,,8.385354800033383,8.39055280003231,9.390600300044753,9.390600300044753,9.390600300044753,9.390600300044753,9.390600300044753,10.390630100038834,10.390630100038834,11.128420400083996,z,1,0.7243395999539644,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
-50,x,4,0,1,x,1,0.664758599945344,None,1,0,4,0,,,,,11.140207900083624,,11.128823000006378,11.140207900083624,12.140914800111204,12.140914800111204,12.140914800111204,12.140914800111204,12.140914800111204,13.140853500110097,13.140853500110097,13.811299300054088,x,1,0.664758599945344,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
150,v,5,1,1,v,1,1.0354870000155643,None,1,1,5,1,,,,,13.824200300034136,,13.811717400094494,13.824200300034136,14.824053200078197,14.824053200078197,14.824053200078197,14.824053200078197,14.824053200078197,15.823358800029382,15.823358800029382,16.861318800016306,v,1,1.0354870000155643,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
50,c,6,2,1,c,1,0.7668519000289962,None,1,2,6,2,,,,,16.874464600114152,,16.861692600068636,16.874464600114152,17.873951000045054,17.873951000045054,17.873951000045054,17.873951000045054,17.873951000045054,18.8739783000201,18.8739783000201,19.644810700090602,c,1,0.7668519000289962,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
-150,z,7,3,1,z,1,0.6149528999812901,None,1,3,7,3,,,,,19.657356100040488,,19.64515300001949,19.657356100040488,20.65755620005075,20.65755620005075,20.65755620005075,20.65755620005075,20.65755620005075,21.65716300008353,21.65716300008353,22.278233000077307,z,1,0.6149528999812901,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
-50,x,8,0,2,x,1,0.8333825999870896,None,2,0,8,0,,,,,22.29019330011215,,22.278637300012633,22.29019330011215,23.290899300016463,23.290899300016463,23.290899300016463,23.290899300016463,23.290899300016463,24.290367900044657,24.290367900044657,25.127500500064343,x,1,0.8333825999870896,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
150,v,9,1,2,v,1,0.6137761999852955,None,2,1,9,1,,,,,25.14004730002489,,25.127845800016075,25.14004730002489,26.140799300046638,26.140799300046638,26.140799300046638,26.140799300046638,26.140799300046638,27.140750500024296,27.140750500024296,27.760650800075382,v,1,0.6137761999852955,None,,,,,1,001,2024-10-17_14h37.53.176,Motor Learning Sequence Task,2024.2.1post4,61.11938940687298,2024-10-17 14h40.35.793676 +0530,
